회사 이름,기업 형태,산업(업종),평균 연봉
대한유화,"코스피,1000대기업, 중견기업,주식회사,외부감사법인,수출입 기업,법인사업체",제조·화학                                (화학)                            ,"11,029"
신한은행,"대기업, 1000대기업,외부감사법인,법인사업체",은행·금융업                                (금융기관)                            ,"9,581"
비즈테크파트너스,"대기업,법인사업체",IT·웹·통신                                (IT컨설팅)                            ,"4,773"
한국바스프,"대기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (화학)                            ,"7,572"
신한종합건설,"주식회사,외부감사법인,법인사업체",건설업                                (토목회사)                            ,"5,523"
롯데글로벌로지스,"대기업, 1000대기업,주식회사,외부감사법인,법인사업체",판매·유통                                (물류업)                            ,"5,473"
한국석유공업,"코스피,1000대기업, 중견기업,주식회사,외부감사법인,수출입 기업,법인사업체",제조·화학                                (요업)                            ,"6,252"
동일기술공사,"중견기업,주식회사,외부감사법인,법인사업체",건설업                                (토목회사)                            ,"5,302"
(주)엠비씨플러스,"중견기업,주식회사,법인사업체",미디어·디자인                                (미디어)                            ,"6,779"
현대엘리베이터,"코스피,대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"7,047"
(주)영선기계,"중소기업,법인사업체",제조·화학                                (기계)                            ,"5,206"
지아이티,법인사업체,제조·화학                                (정밀광학)                            ,"6,742"
한국단자공업,"코스피,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (전기설계)                            ,"6,592"
현대로템,"코스피,대기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차)                            ,"8,592"
네이버아이앤에스,"대기업, 1000대기업,외부감사법인,법인사업체",IT·웹·통신                                (종합포털)                            ,"5,578"
농심홀딩스,"코스피,중견기업,외부감사법인,법인사업체",은행·금융업                                (금융기관)                            ,"10,650"
인터파크,"코스닥,중견기업,주식회사,법인사업체",IT·웹·통신                                (쇼핑몰)                            ,"2,037"
만도,"코스피,대기업, 1000대기업,법인사업체",제조·화학                                (자동차부품)                            ,"8,744"
유한킴벌리(주),"대기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (제지)                            ,"8,023"
성지건설,"코스피,중견기업,주식회사,외부감사법인,법인사업체",건설업                                (건설회사)                            ,"5,074"
원방테크,"코스닥,외부감사법인,주식회사,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"6,242"
이글루시큐리티,"코스닥,외부감사법인,연구소,주식회사,병역특례 인증업체,법인사업체",IT·웹·통신                                (종합포털)                            ,"4,171"
대한뉴팜,"코스닥,외부감사법인,수출입 기업,법인사업체",의료·제약·복지                                (의약·제약)                            ,"5,447"
(주)비케이알,"대기업, 1000대기업,법인사업체",서비스업                                (패스트푸드)                            ,"3,991"
케이지동부제철,"코스피,대기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (철강)                            ,"6,893"
씨에스케이,"외국인 투자기업,외부감사법인,주식회사,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"4,826"
신한다이아몬드공업,"1000대기업, 중견기업,수출입 기업,법인사업체",제조·화학                                (금속)                            ,"4,650"
시마즈사이언티픽코리아,"중견기업,법인사업체",판매·유통                                (판매)                            ,"5,468"
한국얀센,"외국 법인기업,법인사업체",의료·제약·복지                                (의약·제약)                            ,"6,907"
(주)원피팅,"중소기업,법인사업체",제조·화학                                (철강)                            ,"3,744"
에이치디씨현대산업개발,"코스피,중견기업,법인사업체",건설업                                (건설회사)                            ,"7,906"
포스코,"코스피,대기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (제철)                            ,"9,745"
중소기업은행,"코스피,대기업,외부감사법인,공사/공기업,법인사업체",은행·금융업                                (금융기관)                            ,"8,369"
신원종합개발,"코스닥,중견기업,법인사업체",건설업                                (건설회사)                            ,"6,551"
더블유알그레이스코리아(유),"중소기업,외국인 투자기업,유한회사,법인사업체",제조·화학                                (화학)                            ,"6,651"
에드워드코리아,"외국인 투자기업,주식회사,외부감사법인,수출입 기업,법인사업체",제조·화학                                (전자)                            ,"6,221"
넥슨코리아,"대기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",IT·웹·통신                                (게임개발)                            ,"6,740"
LG전자,"코스피,대기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (전자)                            ,"8,607"
삼기,"코스닥,중견기업, 1000대기업,외부감사법인,법인사업체",제조·화학                                (자동차부품)                            ,"4,812"
한국방송공사,"기타,공사/공기업,비영리법인",미디어·디자인                                (공중파방송)                            ,"7,354"
호텔신라,"코스피,대기업, 1000대기업,외국인 투자기업,외부감사법인,법인사업체", ,"4,947"
씨제이대한통운,"코스피,대기업, 1000대기업,주식회사,법인사업체",판매·유통                                (육상운송)                            ,"6,523"
인천도시가스,"코스피,중견기업,외부감사법인,법인사업체",건설업                                (가스설비)                            ,"8,309"
이오테크닉스,"코스닥,중견기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"5,980"
아워홈,"중견기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",서비스업                                (출장요리)                            ,"3,594"
에스케이쉴더스,"대기업,주식회사,법인사업체",서비스업                                (보안·경비업체)                            ,"4,656"
LG생활건강,"코스피,대기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (도료)                            ,"7,565"
건화,"중견기업,외부감사법인,법인사업체",제조·화학                                (조선)                            ,"5,049"
경기고속,"중견기업,외부감사법인,법인사업체",판매·유통                                (고속버스)                            ,"5,407"
경신,"대기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체", ,"6,832"
국민은행,"대기업,외국인 투자기업,외부감사법인,법인사업체",은행·금융업                                (금융기관)                            ,"10,086"
(주)국제손해사정,"중소기업,주식회사,법인사업체",은행·금융업                                (손해사정)                            ,"3,562"
그린피플,"중소기업,법인사업체", ,"3,235"
네이처리퍼블릭,"중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (도료)                            ,"4,562"
다우기술,"코스피,1000대기업, 중견기업,외부감사법인,수출입 기업,법인사업체",IT·웹·통신                                (종합포털)                            ,"6,218"
대교,"코스피,중견기업,외부감사법인,법인사업체",교육업                                (어학원)                            ,"4,286"
(주)대림산업,"중소기업,연구소,주식회사,병역특례 인증업체,법인사업체",제조·화학                                (금속)                            ,"4,265"
(주)대성산업,"중소기업,법인사업체",제조·화학                                (제지)                            ,"3,777"
대웅제약,"코스피,주식회사,법인사업체",의료·제약·복지                                (의약·제약)                            ,"6,583"
더맨,"중소기업,외부감사법인,주식회사,법인사업체", ,"2,942"
동보,"중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"5,188"
동성모터스,"외부감사법인,법인사업체",판매·유통                                (자동차매장)                            ,"4,394"
동양,"중소기업,법인사업체",제조·화학                                (자동차부품)                            ,"4,668"
(주)동양이엠에스,"중견기업,법인사업체",서비스업                                                            ,"2,859"
동원F&B,"코스피,대기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (식품가공)                            ,"4,284"
(주)디에이치엘코리아,"대기업, 1000대기업,외국인 투자기업,외부감사법인,법인사업체",판매·유통                                (물류업)                            ,"5,492"
디티알,"중견기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"5,752"
러쉬코리아,"중소기업,주식회사,법인사업체",판매·유통                                (화장품매장)                            ,"3,869"
(주)맥서브,"외부감사법인,법인사업체",서비스업                                (시설관리)                            ,"3,152"
맨파워코리아,"중견기업,외국인 투자기업,외부감사법인,법인사업체", ,"3,132"
메타넷엠플랫폼,"중견기업,주식회사,법인사업체",서비스업                                (아웃소싱)                            ,"2,818"
명일,"중소기업,주식회사,법인사업체", ,"4,840"
(주)문화방송,"외부감사법인,법인사업체",미디어·디자인                                (공중파방송)                            ,"6,970"
바디프랜드,"중견기업, 1000대기업,외부감사법인,법인사업체",제조·화학                                (정밀광학)                            ,"4,178"
브라운네트웍스,"중소기업,주식회사,법인사업체",서비스업                                (시설관리)                            ,"3,582"
사람인에이치알,"코스닥,중견기업,법인사업체",IT·웹·통신                                (종합포털)                            ,"4,673"
삼구아이앤씨,"중견기업,외부감사법인,법인사업체",서비스업                                (시설관리)                            ,"3,872"
(주)삼구에프에스,"중견기업,주식회사,법인사업체",서비스업                                                            ,"3,177"
삼영기업,"중견기업,주식회사,법인사업체",건설업                                (전기설비)                            ,"5,567"
샤프에비에이션케이,"외부감사법인,주식회사,법인사업체",판매·유통                                (물류업)                            ,"3,814"
세방테크,"중견기업,주식회사,법인사업체",건설업                                (시설)                            ,"5,257"
세정,"중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (남성의류)                            ,"5,033"
세진,"외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"6,106"
세코닉스,"코스닥,1000대기업, 중견기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체", ,"4,393"
(주)스타럭스,"중견기업,외부감사법인,법인사업체",판매·유통                                (잡화매장)                            ,"3,212"
스타벅스커피코리아,"대기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체", ,"2,671"
신보,"중견기업,외부감사법인,주식회사,법인사업체",건설업                                (전기설비)                            ,"5,511"
(주)신우,"중소기업,주식회사,법인사업체",제조·화학                                (프라스틱제조)                            ,"4,424"
(주)신흥,"외부감사법인,법인사업체",제조/화학업                                                            ,"3,383"
신흥정밀,"중견기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (전자)                            ,"4,711"
씨에스원파트너,"대기업,법인사업체",서비스업                                (아웃소싱)                            ,"3,716"
씨에이치엠,"중소기업,주식회사,법인사업체",서비스업                                (시설관리)                            ,"3,250"
씨제이이엔엠,"코스닥,대기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",IT·웹·통신                                (쇼핑몰)                            ,"6,976"
씨제이텔레닉스,"대기업,외부감사법인,법인사업체", ,"3,757"
아모레퍼시픽,"코스피,대기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (도료)                            ,"6,604"
아발론교육,"중견기업,주식회사,법인사업체", ,"3,555"
아이비에스인더스트리,"중견기업,주식회사,법인사업체",서비스업                                (시설관리)                            ,"3,356"
아프리카티비,"코스닥,외부감사법인,수출입 기업,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"4,708"
안랩,"코스닥,중견기업,외부감사법인,수출입 기업,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"5,931"
야놀자,"중견기업, 스타트업,주식회사,외부감사법인,법인사업체",IT·웹·통신                                (종합포털)                            ,"5,217"
(주)약손명가,"중소기업,법인사업체",기관·협회                                (경영연구소)                            ,"3,599"
에스아이플렉스,"대기업, 1000대기업,외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (회로설계)                            ,"5,183"
에스텍시스템,"중견기업,외부감사법인,주식회사,법인사업체",서비스업                                (보안·경비업체)                            ,"3,620"
