회사 이름,기업 형태,산업(업종),평균 연봉
신한카드,"대기업, 1000대기업,주식회사,법인사업체",은행·금융업                                (신용카드사)                            ,"10,914"
쌍용건설,"코스닥,중견기업, 1000대기업,외국 법인기업,주식회사,외부감사법인,법인사업체",건설업                                (건설회사)                            ,"6,750"
씨제이푸드빌,"대기업,외부감사법인,법인사업체", ,"5,204"
씨제이프레시웨이,"코스닥,대기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",판매·유통                                (판매)                            ,"2,873"
아시아나항공,"코스피,대기업, 1000대기업,외국인 투자기업,외부감사법인,법인사업체",판매·유통                                (항공운송)                            ,"4,773"
아이비커리어(주),"중소기업,법인사업체",서비스업                                                            ,"2,953"
안진회계법인,"중견기업,법인사업체",기관·협회                                (회계법인)                            ,"6,588"
에릭슨엘지,"대기업,외국인 투자기업,외부감사법인,주식회사,법인사업체",판매·유통                                (IT·통신기기판매)                            ,"7,450"
에스케이에코플랜트,"대기업, 1000대기업,주식회사,외부감사법인,법인사업체",건설업                                (토목회사)                            ,"7,161"
에스피씨(주),"중소기업,외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (화학)                            ,"4,097"
에이스휴먼파워(주),"중소기업,주식회사,법인사업체",서비스업                                                            ,"2,914"
에이치디에스,"중소기업,주식회사,법인사업체",서비스업                                (보안·경비업체)                            ,"4,293"
에프알엘코리아,"대기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",판매·유통                                (의류매장)                            ,"3,090"
엘에스엠트론,"대기업, 1000대기업,법인사업체",제조·화학                                (기계)                            ,"7,372"
엘에스전선,"대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (전기)                            ,"6,916"
엘지이노텍,"코스피,대기업,주식회사,법인사업체",제조·화학                                (전자)                            ,"6,729"
우리관리,"중견기업,외국 법인기업,주식회사,수출입 기업,법인사업체",건설업                                (부동산중개)                            ,"3,670"
우리회계법인,"중소기업,유한회사,법인사업체",기관·협회                                (회계법인)                            ,"5,763"
이케이맨파워(주),"중견기업,주식회사,법인사업체",서비스업                                                            ,"3,088"
인탑스,"코스닥,중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (전자)                            ,"4,341"
인터코리아맨파워시스템(주),"중소기업,주식회사,법인사업체",서비스업                                                            ,"2,929"
인트로맨(주),"중소기업,주식회사,법인사업체",서비스업                                                            ,"3,034"
자라리테일코리아,"중견기업, 1000대기업,외국 법인기업,법인사업체",판매·유통                                (의류매장)                            ,"3,319"
제이티친애저축은행(주),"중견기업,법인사업체",은행·금융업                                (저축은행)                            ,"4,799"
청호나이스,"중견기업,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"4,768"
캐논코리아,"대기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"5,101"
케이지에이에셋(주),"대기업,금융기관,주식회사,법인사업체",은행·금융업                                (보험사)                            ,"2,620"
케이텍맨파워,"중견기업,주식회사,법인사업체", ,"3,170"
쿠쿠전자,"중소기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (가전제품)                            ,"4,390"
타이어뱅크,"중견기업,외부감사법인,수출입 기업,법인사업체",판매·유통                                (자동차매장)                            ,"5,291"
타이코에이엠피,"외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (전기설계)                            ,"4,829"
투썸플레이스(주),"대기업,법인사업체",서비스업                                                            ,"4,569"
프라임에셋,"중견기업,외부감사법인,주식회사,법인사업체",은행·금융업                                (보험사)                            ,"5,066"
피에스앤마케팅,"대기업,주식회사,법인사업체",판매·유통                                (IT·통신기기판매)                            ,"4,189"
하나마이크론,"코스닥,대기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (회로설계)                            ,"5,308"
하이엠솔루텍,"대기업,법인사업체", ,"5,012"
한국교육방송공사,"기타,공사/공기업,수출입 기업,비영리법인",미디어·디자인                                (공중파방송)                            ,"7,370"
한국생산기술연구원,"기타,연구소,비영리법인",기관·협회                                (연구소)                            ,"5,144"
한국에스지에스,"외국인 투자기업,외부감사법인,수출입 기업,법인사업체",기관·협회                                (연구소)                            ,"5,534"
한국전자금융,"코스닥,중견기업,법인사업체",서비스업                                (시설관리)                            ,"4,988"
한국필립모리스(주),"외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (식품가공)                            ,"7,539"
한솔섬유,"1000대기업, 중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (의류·의상)                            ,"6,575"
한양특허법인,"중소기업,주식회사,법인사업체",기관·협회                                (특허사무소)                            ,"4,759"
한영회계법인,"중견기업,외국 법인기업,외부감사법인,법인사업체",기관·협회                                (회계법인)                            ,"6,733"
한화생명보험,"코스피,대기업, 1000대기업,외부감사법인,주식회사,법인사업체",은행·금융업                                (생명보험)                            ,"8,848"
한화호텔앤드리조트,"대기업, 1000대기업,주식회사,법인사업체", ,"4,588"
핸즈식스(주),"중견기업,법인사업체",제조·화학                                (자동차부품)                            ,"5,136"
현대글로비스,"코스피,대기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",판매·유통                                (물류업)                            ,"7,074"
현대씨앤알,"주식회사,외부감사법인,법인사업체",서비스업                                (시설관리)                            ,"3,538"
현대오토에버,"코스피,대기업, 1000대기업,외부감사법인,주식회사,수출입 기업,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"8,108"
현대이엔티,"대기업,외부감사법인,법인사업체",건설업                                (시공사)                            ,"4,847"
현대제철,"코스피,대기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (제철)                            ,"7,891"
현대해상화재보험,"코스피,대기업, 1000대기업,외부감사법인,법인사업체",은행·금융업                                (손해사정)                            ,"8,875"
홈플러스(주),"대기업, 1000대기업,외국인 투자기업,외부감사법인,법인사업체",판매/유통업                                                            ,"3,495"
환경시설관리,"중견기업,법인사업체",건설업                                (폐수처리)                            ,"3,990"
효성아이티엑스,"코스피,대기업,외부감사법인,수출입 기업,법인사업체",서비스업                                (아웃소싱)                            ,"3,154"
흥국화재해상보험,"코스피,대기업,금융기관,주식회사,법인사업체",은행·금융업                                (손해사정)                            ,"6,754"
희성전자,"중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (디스플레이)                            ,"6,953"
펄어비스,"코스닥,중소기업,법인사업체",IT·웹·통신                                (게임개발)                            ,"7,545"
에스제이테크,"외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (전자)                            ,"4,590"
에이텍,"외부감사법인,법인사업체",제조·화학                                (프라스틱제조)                            ,"4,855"
대보정보통신,"중견기업,외부감사법인,법인사업체",건설업                                (시공사)                            ,"4,731"
옵트론텍,"코스닥,중견기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체", ,"3,450"
(주)청우식품,"외부감사법인,주식회사,수출입 기업,법인사업체",제조·화학                                (제과제빵)                            ,"3,692"
윕스,"중견기업,법인사업체",IT·웹·통신                                (종합포털)                            ,"4,583"
(주)참프레,"1000대기업, 중견기업,주식회사,법인사업체",제조·화학                                (식품가공)                            ,"4,455"
에프앤씨시스템,"중견기업,주식회사,법인사업체", ,"3,466"
금양산업개발,"외부감사법인,법인사업체",건설업                                (전기설비)                            ,"5,006"
태성회계법인,"중소기업,주식회사,법인사업체",기관·협회                                (회계법인)                            ,"5,194"
(주)공차코리아,"중소기업,외국인 투자기업,주식회사,수출입 기업,법인사업체",서비스업                                (음식료)                            ,"2,411"
코렌스,"중견기업, 1000대기업,외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"4,645"
(주)스마일게이트홀딩스,"중견기업,주식회사,외부감사법인,법인사업체",은행·금융업                                (금융기관)                            ,"6,622"
에이에스엠엘코리아(주),"1000대기업, 중견기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",건설업                                (시공사)                            ,"6,946"
한국화학연구원,"기타,공사/공기업,비영리법인",기관·협회                                (연구소)                            ,"4,869"
(주)요거프레소,"중소기업,주식회사,법인사업체",판매·유통                                (판매)                            ,"3,263"
휴젤,"코스닥,중견기업,법인사업체",의료·제약·복지                                (의약·제약)                            ,"5,152"
(주)이엠텍,"중소기업,주식회사,법인사업체",제조·화학                                (금속)                            ,"3,654"
천재교과서,"중견기업,외부감사법인,주식회사,법인사업체",미디어·디자인                                (출판사)                            ,"4,419"
(주)휴먼코아,"중소기업,법인사업체",서비스업                                                            ,"3,046"
신세계인터내셔날,"코스피,대기업, 1000대기업,외부감사법인,주식회사,수출입 기업,법인사업체",판매·유통                                (의류매장)                            ,"5,832"
케이투코리아(주),"중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (잡화)                            ,"6,551"
태영산업,"중소기업,주식회사,외부감사법인,수출입 기업,법인사업체",제조·화학                                (의류·의상)                            ,"4,269"
DB하이텍,"코스피,대기업, 1000대기업,주식회사,외부감사법인,병역특례 인증업체,수출입 기업,법인사업체", ,"7,038"
인피닉,"중소기업,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"3,150"
한화손해보험,"코스피,대기업,금융기관,법인사업체",은행·금융업                                (손해사정)                            ,"7,246"
한성,"중소기업,주식회사,수출입 기업,법인사업체",제조·화학                                (Hardware)                            ,"3,546"
(주)대진,"중소기업,주식회사,수출입 기업,법인사업체",제조·화학                                (프라스틱제조)                            ,"5,123"
후니드,"중견기업,주식회사,법인사업체",서비스업                                (출장요리)                            ,"3,341"
동남정밀,"외부감사법인,주식회사,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"4,665"
삼광,"중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (프라스틱제조)                            ,"4,807"
롯데캐피탈,"대기업, 1000대기업,외국인 투자기업,외부감사법인,법인사업체",은행·금융업                                (신용카드사)                            ,"6,609"
분당서울대학교병원,"기타,병원/의료기관,비영리법인",의료·제약·복지                                (종합병원)                            ,"5,117"
일양약품,"코스피,중견기업,외부감사법인,수출입 기업,법인사업체",의료·제약·복지                                (의약·제약)                            ,"5,859"
한국에스엠티(주),"중소기업,주식회사,법인사업체",제조·화학                                (전자)                            ,"5,309"
한화건설,"대기업, 1000대기업,외부감사법인,법인사업체",건설업                                (도로·항만)                            ,"6,922"
세안이엔씨,"중견기업,외부감사법인,병역특례 인증업체,법인사업체",건설업                                (전기설비)                            ,"4,722"
원테크,"중소기업,주식회사,법인사업체",건설업                                (전기설비)                            ,"3,794"
세아상역(주),"대기업, 1000대기업,법인사업체",제조·화학                                (남성의류)                            ,"6,820"
악사손해보험,"대기업, 1000대기업,외국인 투자기업,외부감사법인,법인사업체",은행·금융업                                (손해사정)                            ,"5,028"
메가엠디,"코스닥,외부감사법인,법인사업체",교육업                                (학습지)                            ,"3,424"
예스이십사,"코스닥,중견기업,외부감사법인,법인사업체",IT·웹·통신                                (쇼핑몰)                            ,"4,425"
온세미컨덕터코리아,"외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (반도체)                            ,"6,183"
참좋은여행,"코스닥,중견기업,주식회사,외부감사법인,법인사업체",서비스업                                (여행사)                            ,"2,278"
(주)대명,"외부감사법인,수출입 기업,법인사업체",제조·화학                                (섬유)                            ,"3,824"
더본코리아,"중견기업,주식회사,법인사업체",서비스업                                (음식료)                            ,"4,166"
디엠씨,"중소기업,법인사업체",제조·화학                                (자동차부품)                            ,"5,050"
웅진에너지,"코스피,1000대기업, 중견기업,주식회사,법인사업체", ,"4,037"
소노인터내셔널,"중견기업, 1000대기업,외부감사법인,주식회사,법인사업체", ,"4,269"
노랑풍선,"코스닥,중소기업,주식회사,법인사업체",서비스업                                (여행사)                            ,"1,758"
클리오,"중소기업,법인사업체",제조·화학                                (정밀광학)                            ,"4,649"
DB손해보험,"코스피,대기업,주식회사,법인사업체",은행·금융업                                (손해사정)                            ,"6,914"
(주)프리미엄에셋,"중소기업,주식회사,법인사업체",은행·금융업                                (보험사)                            ,"3,416"
엔에이치농협캐피탈,"대기업,주식회사,금융기관,법인사업체",은행·금융업                                (신용카드사)                            ,"5,877"
성엔지니어링,"중소기업,수출입 기업,법인사업체",제조·화학                                (전기)                            ,"4,352"
미래테크(주),"중소기업,외부감사법인,주식회사,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (금속)                            ,"4,296"
한국금융안전,"외부감사법인,법인사업체",서비스업                                (보안·경비업체)                            ,"4,072"
서울바이오시스,"코스닥,중견기업,주식회사,외부감사법인,수출입 기업,법인사업체", ,"5,503"
(주)삼화,"중소기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (프라스틱제조)                            ,"3,797"
코리아크레딧뷰로(주),"중견기업,주식회사,금융기관,법인사업체",은행·금융업                                (캐피탈)                            ,"7,129"
금성출판사,"중견기업,외부감사법인,수출입 기업,법인사업체",미디어·디자인                                (출판사)                            ,"3,991"
(주)에스와이에스리테일,"중견기업,수출입 기업,법인사업체",판매·유통                                (가전·오디오판매)                            ,"5,456"
애경산업,"코스피,중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (도료)                            ,"5,458"
미창조(주),"중소기업,법인사업체",교육업                                                            ,"4,540"
케이티텔레캅,"대기업, 1000대기업,외부감사법인,법인사업체",서비스업                                (보안·경비업체)                            ,"4,426"
세보엠이씨,"코스닥,중견기업,주식회사,법인사업체",건설업                                (냉난방설비)                            ,"5,370"
케이에프앤에스,"중소기업,주식회사,법인사업체",서비스업                                (시설관리)                            ,"3,309"
아이지에스,"중견기업,법인사업체",IT·웹·통신                                (게임개발)                            ,"3,799"
위드이노베이션,"중소기업,사단법인,주식회사,법인사업체",IT·웹·통신                                (IT컨설팅)                            ,"2,793"
모트렉스,"코스닥,중견기업,주식회사,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"5,036"
필옵틱스,"코스닥,중견기업,외부감사법인,법인사업체",제조·화학                                (기계)                            ,"4,489"
삼화페인트공업,"코스피,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (화학)                            ,"6,294"
에스엠씨디엠,"중소기업,주식회사,법인사업체", ,"4,159"
(주)인비트윈,"중소기업,주식회사,외부감사법인,수출입 기업,법인사업체",판매·유통                                (의류매장)                            ,"3,419"
화인텍,"중소기업,외부감사법인,주식회사,법인사업체",제조·화학                                (자동차부품)                            ,"3,968"
그린씨에스,"중소기업,법인사업체",서비스업                                (아웃소싱)                            ,"3,033"
솔브레인홀딩스,"코스닥,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",은행·금융업                                (금융기관)                            ,"6,917"
(주)난다,"중소기업,주식회사,수출입 기업,법인사업체",판매/유통업                                                            ,"3,349"
지멘스,"대기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체", ,"6,924"
두성산업,"외부감사법인,수출입 기업,법인사업체",제조·화학                                (전자)                            ,"3,341"
유니셈,"코스닥,중견기업,법인사업체",제조·화학                                (기계)                            ,"4,050"
풀무원식품,"중견기업,주식회사,법인사업체",판매·유통                                (판매)                            ,"5,530"
유니테크,"중소기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (화학)                            ,"5,183"
더블유게임즈,"코스피,중견기업, 스타트업,주식회사,외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",IT·웹·통신                                (게임개발)                            ,"7,340"
(주)네오텍,"외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"4,870"
엑스엘게임즈,"중소기업,주식회사,법인사업체",IT·웹·통신                                (게임개발)                            ,"5,102"
케이원전자,"외부감사법인,수출입 기업,법인사업체",제조·화학                                (전자)                            ,"3,668"
한온시스템,"코스피,대기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"8,820"
씨아이템프러리,"중소기업,주식회사,사단법인,법인사업체",서비스업                                (서치펌)                            ,"3,176"
에스케이하이이엔지,"대기업,외부감사법인,법인사업체",서비스업                                (시설관리)                            ,"7,428"
디알젬,"코스닥,중소기업,주식회사,외부감사법인,수출입 기업,법인사업체",제조·화학                                (정밀광학)                            ,"5,128"
스타자동차(주),"중견기업,외부감사법인,주식회사,법인사업체",판매·유통                                (자동차매장)                            ,"4,333"
신풍제약,"코스피,중견기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",의료·제약·복지                                (의약·제약)                            ,"6,048"
아바텍,"코스닥,외부감사법인,수출입 기업,법인사업체", ,"3,877"
(주)캘리스코,"중견기업,외부감사법인,주식회사,법인사업체",서비스업                                                            ,"2,547"
(주)한샘개발,"중견기업,법인사업체",서비스업                                (시설관리)                            ,"3,244"
연합정밀,"외부감사법인,수출입 기업,법인사업체",제조·화학                                (전기설계)                            ,"5,056"
(주)삼우에프앤지,"외부감사법인,법인사업체",판매/유통업                                                            ,"4,477"
에코마케팅,"중소기업,법인사업체",미디어·디자인                                (광고대행사)                            ,"4,650"
(주)와이즈스톤,"중소기업,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"4,442"
메트라이프생명보험,"대기업, 1000대기업,외국 법인기업,금융기관,주식회사,법인사업체",은행·금융업                                (생명보험)                            ,"7,576"
부산대학교병원,"기타,공사/공기업,비영리법인",의료·제약·복지                                (종합병원)                            ,"4,137"
아사아블로이코리아,"대기업,외국 법인기업,법인사업체",판매·유통                                (판매)                            ,"4,507"
코리아에프티,"코스닥,외국인 투자기업,외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"4,861"
엠포스,"중소기업,외국인 투자기업,외부감사법인,법인사업체",미디어·디자인                                (광고대행사)                            ,"3,888"
원익홀딩스,"코스닥,중견기업,법인사업체",제조·화학                                (기계)                            ,"6,710"
이테크시스템,"중견기업,법인사업체",판매·유통                                (IT·통신기기판매)                            ,"5,414"
에이에스엠케이,"외국인 투자기업,외부감사법인,연구소,병역특례 인증업체,법인사업체",제조·화학                                (기계)                            ,"6,975"
리치몬트코리아,"대기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",판매·유통                                (잡화매장)                            ,"5,002"
(주)에어릭스,"중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"6,534"
이트너스,"중소기업,외부감사법인,법인사업체", ,"3,911"
자화전자,"코스피,외국인 투자기업,외부감사법인,주식회사,수출입 기업,법인사업체",제조·화학                                (전자)                            ,"4,862"
정림건축종합건축사사무소,"중견기업,외부감사법인,법인사업체",건설업                                (건축설계·CAD)                            ,"5,803"
하나카드,"대기업, 1000대기업,주식회사,법인사업체",은행·금융업                                (신용카드사)                            ,"7,536"
(주)니프코코리아,"중견기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조/화학업                                                            ,"7,577"
넥센타이어,"코스피,중견기업,외부감사법인,주식회사,수출입 기업,법인사업체",제조·화학                                (고무)                            ,"6,131"
온라인팜(주),"주식회사,법인사업체",판매·유통                                (판매)                            ,"6,230"
노브랜드,"중견기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (의류·의상)                            ,"5,162"
(주)링크프라이스,"중소기업,주식회사,법인사업체",IT·웹·통신                                (종합포털)                            ,"3,696"
더클래스효성,"대기업,외부감사법인,수출입 기업,법인사업체",판매·유통                                (자동차매장)                            ,"5,247"
크린팩토메이션,"중견기업,외국 법인기업,주식회사,법인사업체",제조·화학                                (기계)                            ,"5,949"
바바리안모터스,"중견기업,외부감사법인,수출입 기업,법인사업체",판매·유통                                (자동차매장)                            ,"4,139"
바른전자,"코스닥,중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (반도체)                            ,"3,161"
(주)블루핸즈,"중소기업,법인사업체",제조·화학                                (기계)                            ,"6,159"
농협파트너스,"대기업,외부감사법인,법인사업체", ,"2,974"
솔로몬테크노서플라이,"중견기업,주식회사,외부감사법인,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"4,202"
제이앤티씨,"코스닥,중견기업, 1000대기업,주식회사,외부감사법인,수출입 기업,법인사업체",제조·화학                                (전자)                            ,"3,947"
커리어넷,"중견기업,주식회사,법인사업체",IT·웹·통신                                (종합포털)                            ,"3,316"
관세법인에이원,"중소기업,유한회사,법인사업체",판매·유통                                (운송·운수)                            ,"3,592"
팅크웨어,"코스닥,중견기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"4,902"
에이비비코리아,"대기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체", ,"6,958"
비알코리아,"외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (식품가공)                            ,"4,170"
(주)풍인무역,"중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (여성의류)                            ,"5,611"
한국과학기술기획평가원,"기타,공사/공기업,비영리법인",기관·협회                                (협회)                            ,"6,775"
(주)삼우,"외부감사법인,수출입 기업,법인사업체",제조·화학                                (금속)                            ,"5,009"
조선방송,"중견기업,주식회사,법인사업체",미디어·디자인                                (종합유선방송)                            ,"6,774"
무인양품,"중소기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",판매·유통                                (판매)                            ,"2,693"
리더스손해사정,"중소기업,금융기관,법인사업체",은행·금융업                                (손해사정)                            ,"3,189"
(주)삼익,"중소기업,주식회사,법인사업체",서비스업                                (청소·방역)                            ,"3,058"
씨앤씨,"중소기업,연구소,주식회사,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (도료)                            ,"3,245"
티맥스소프트,"중견기업,외부감사법인,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"5,756"
케이티비투자증권,"코스피,대기업, 1000대기업,주식회사,외부감사법인,법인사업체",은행·금융업                                (증권사)                            ,"15,830"
SPC삼립,"코스피,중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (제과제빵)                            ,"4,549"
(주)서양네트웍스,"중견기업,외국인 투자기업,외부감사법인,법인사업체",제조·화학                                (유아의류)                            ,"3,750"
대영전자(주),"중소기업,외부감사법인,법인사업체",제조·화학                                (전자)                            ,"5,284"
동호에이치알,"중소기업,법인사업체", ,"3,126"
효성중공업,"코스피,대기업,법인사업체",제조·화학                                (전기)                            ,"6,709"
신일산업,"중소기업,주식회사,법인사업체",제조·화학                                (금속)                            ,"4,781"
(주)채선당,"중소기업,주식회사,법인사업체",판매·유통                                (판매)                            ,"5,085"
티엘비,"코스닥,중견기업,주식회사,법인사업체",제조·화학                                (회로설계)                            ,"5,368"
더존비즈온,"코스피,1000대기업, 중견기업,외부감사법인,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"4,659"
신영증권,"코스피,대기업, 1000대기업,주식회사,외부감사법인,금융기관,법인사업체",은행·금융업                                (증권사)                            ,"8,975"
세진중공업,"코스피,중견기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (조선)                            ,"5,454"
코스메카코리아,"코스닥,중견기업,주식회사,수출입 기업,법인사업체",제조·화학                                (도료)                            ,"4,035"
테크윙,"코스닥,주식회사,법인사업체",제조·화학                                (기계)                            ,"4,944"
에이치씨엠,"중견기업,주식회사,법인사업체",서비스업                                (시설관리)                            ,"4,712"
파르나스호텔,"대기업, 1000대기업,외부감사법인,법인사업체", ,"5,878"
대정,"중소기업,주식회사,법인사업체",판매·유통                                (판매)                            ,"5,610"
(주)드림피플파트너스,"중소기업,주식회사,법인사업체",서비스업                                                            ,"2,739"
한성모터스(주),"중소기업,주식회사,법인사업체",판매·유통                                (자동차매장)                            ,"4,270"
코아스,"중소기업,주식회사,수출입 기업,법인사업체",제조·화학                                (자동차)                            ,"3,318"
보람상조라이프(주),"외부감사법인,법인사업체",서비스업                                (장례·상조)                            ,"3,841"
새한신용정보(주),"중소기업,주식회사,법인사업체",은행·금융업                                (캐피탈)                            ,"3,877"
제일파마홀딩스,"코스피,외부감사법인,수출입 기업,법인사업체",은행·금융업                                (금융기관)                            ,"6,737"
매일경제신문사,"중견기업,외부감사법인,법인사업체",미디어·디자인                                (신문사)                            ,"4,843"
삼보기술단,"외부감사법인,법인사업체",건설업                                (토목회사)                            ,"6,734"
삼천리,"코스피,대기업, 1000대기업,외부감사법인,법인사업체",건설업                                (가스설비)                            ,"8,773"
대동병원,"기타,비영리법인",의료·제약·복지                                (종합병원)                            ,"3,966"
어니컴,"중소기업,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"3,649"
인지컨트롤스,"코스피,외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"5,065"
고암,"중견기업,외부감사법인,주식회사,법인사업체",서비스업                                (시설관리)                            ,"3,120"
(주)대웅,"외부감사법인,법인사업체",제조·화학                                (제과제빵)                            ,"3,999"
부성,"외부감사법인,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"3,661"
코리아인스트루먼트,"외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (전자)                            ,"4,299"
경동건설,"중견기업,외부감사법인,법인사업체",건설업                                (토목회사)                            ,"4,853"
안세회계법인,"중소기업,외부감사법인,법인사업체",기관·협회                                (회계법인)                            ,"2,872"
이오에스,"중소기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (회로설계)                            ,"5,744"
동원홈푸드,"외부감사법인,수출입 기업,법인사업체",제조·화학                                (식품가공)                            ,"3,649"
바이엘코리아,"대기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",판매·유통                                (판매)                            ,"6,908"
퓨처젠,"중소기업,외부감사법인,주식회사,법인사업체",판매·유통                                (IT·통신기기판매)                            ,"4,039"
더블유에셋(주),"중소기업,금융기관,주식회사,법인사업체",은행·금융업                                (보험사)                            ,"3,398"
동원씨앤에스,"대기업,주식회사,법인사업체",서비스업                                (시설관리)                            ,"3,035"
신라스테이,"대기업,법인사업체", ,"3,454"
엘비세미콘,"코스닥,중견기업,주식회사,법인사업체", ,"4,836"
하이즈항공,"코스닥,중소기업,외부감사법인,법인사업체",제조·화학                                (항공)                            ,"3,329"
(주)다인맨파워,"중소기업,법인사업체",서비스업                                                            ,"3,968"
뉴프렉스,"코스닥,중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (회로설계)                            ,"3,895"
에이테크오토모티브,"중견기업,주식회사,외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"4,777"
(주)원진,"중소기업,외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"4,538"
태양,"중소기업,주식회사,법인사업체",판매·유통                                (서적·음반)                            ,"3,672"
디아이티,"중소기업,법인사업체",판매·유통                                (IT·통신기기판매)                            ,"4,485"
연우,"코스닥,주식회사,법인사업체",제조·화학                                (프라스틱제조)                            ,"3,710"
(주)타임교육,"중견기업,주식회사,법인사업체",교육업                                (보습학원)                            ,"4,074"
성화산업,"주식회사,수출입 기업,법인사업체",제조·화학                                (금속)                            ,"5,903"
에코캡,"코스닥,중소기업,주식회사,외부감사법인,법인사업체",제조·화학                                (자동차부품)                            ,"2,847"
(주)세림,"외부감사법인,주식회사,수출입 기업,법인사업체",제조·화학                                (제지)                            ,"5,595"
씨앤에스,"중소기업,주식회사,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"4,167"
(주)장보고식자재마트,"중견기업,외부감사법인,주식회사,법인사업체",판매·유통                                (판매)                            ,"3,602"
신화인터텍,"코스닥,대기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (프라스틱제조)                            ,"4,842"
진영산업(주),"중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"5,877"
키움에셋플래너,"중소기업,외부감사법인,금융기관,주식회사,법인사업체",은행·금융업                                (보험사)                            ,"3,923"
