조회연도,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
2017,종로구,13,13,0,4,5,4
2017,중구,9,9,0,1,6,2
2017,용산구,13,15,0,1,12,2
2017,성동구,8,9,0,3,5,1
2017,동대문구,22,22,0,5,13,4
2017,성북구,31,33,0,8,24,1
2017,도봉구,18,18,0,6,11,1
2017,은평구,32,33,0,8,24,1
2017,서대문구,15,15,0,5,8,2
2017,마포구,22,23,0,5,12,6
2017,강서구,27,27,0,5,20,2
2017,구로구,27,29,0,9,17,3
2017,영등포구,20,20,0,4,9,7
2017,동작구,17,17,0,8,9,0
2017,관악구,20,21,0,2,17,2
2017,강남구,40,41,0,9,24,8
2017,강동구,30,30,1,12,12,5
2017,송파구,46,46,0,16,20,10
2017,서초구,34,34,0,9,19,6
2017,양천구,39,40,0,8,24,8
2017,중랑구,33,33,0,8,21,4
2017,노원구,35,35,0,8,23,4
2017,광진구,23,24,0,8,12,4
2017,강북구,23,25,0,6,18,1
2017,금천구,18,18,0,9,7,2
