조회연도,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
2019,종로구,7,7,0,2,4,1
2019,중구,6,6,0,1,2,3
2019,용산구,11,11,0,1,10,0
2019,성동구,15,15,0,3,10,2
2019,동대문구,20,20,0,6,13,1
2019,성북구,23,23,0,6,16,1
2019,도봉구,18,18,0,3,13,2
2019,은평구,29,30,0,10,15,5
2019,서대문구,16,16,0,4,11,1
2019,마포구,14,14,0,4,8,2
2019,강서구,43,43,1,10,27,5
2019,구로구,44,44,0,10,27,7
2019,영등포구,31,33,0,5,23,5
2019,동작구,24,24,0,3,17,4
2019,관악구,14,15,0,5,9,1
2019,강남구,44,44,0,4,31,9
2019,강동구,33,35,0,7,21,7
2019,송파구,54,56,0,9,33,14
2019,서초구,21,21,0,6,13,2
2019,양천구,41,41,2,10,25,4
2019,중랑구,29,30,0,6,19,5
2019,노원구,28,28,0,5,20,3
2019,광진구,29,30,0,8,20,2
2019,강북구,22,22,0,2,17,3
2019,금천구,18,18,0,5,12,1
